actionmailer, 4.0.0, MIT
actionpack, 4.0.0, MIT
activemodel, 4.0.0, MIT
activerecord, 4.0.0, MIT
activerecord-deprecated_finders, 1.0.3, MIT
activesupport, 4.0.0, MIT
arel, 4.0.0, MIT
atomic, 1.1.14, Apache-2.0
builder, 3.1.4, MIT
bundler, 1.3.5, MIT
coffee-rails, 4.0.0, MIT
coffee-script, 2.2.0, MIT
coffee-script-source, 1.6.3, MIT
erubis, 2.7.0, MIT
execjs, 2.0.2, MIT
hike, 1.2.3, MIT
httparty, 0.11.0, MIT
i18n, 0.6.5, MIT
jbuilder, 1.5.1, MIT
jquery-rails, 3.0.4, MIT
json, 1.8.0, Ruby
license_finder, 0.9.2, MIT
mail, 2.5.4, MIT
mime-types, 1.25, MIT
minitest, 4.7.5, MIT
multi_json, 1.8.0, MIT
multi_xml, 0.5.5, MIT
polyglot, 0.3.3, MIT
rack, 1.5.2, MIT
rack-test, 0.6.2, MIT
rails, 4.0.0, MIT
railties, 4.0.0, MIT
rake, 10.1.0, MIT
rdoc, 3.12.2, other
sass, 3.2.11, MIT
sass-rails, 4.0.0, MIT
sdoc, 0.3.20, MIT
sequel, 4.2.0, MIT
sprockets, 2.10.0, MIT
sprockets-rails, 2.0.0, MIT
sqlite3, 1.3.8, MIT
thor, 0.18.1, MIT
thread_safe, 0.1.3, Apache-2.0
tilt, 1.4.1, MIT
treetop, 1.4.15, MIT
turbolinks, 1.3.0, MIT
tzinfo, 0.3.37, MIT
uglifier, 2.2.1, MIT
